ID	X	Y
cell_368	20715.2208413029	32998.4570336814
cell_83	21943.7191931446	32457.5565539691
cell_1576	16739.2518967937	39410.0321523797
cell_3857	10763.9616416132	33039.9010799614
cell_7052	974.758983041596	41710.6628893385
cell_3807	12295.1848631444	33603.1916716819
cell_5911	3430.09678830139	39805.577317983
cell_3726	9421.25600797119	37383.1010152296
cell_4744	7554.77695121991	41261.7749857886
cell_3324	9820.57593128613	43254.2011974682
cell_3618	11722.6465217888	36094.9400812178
cell_4280	8858.51364292472	24221.849924562
cell_5752	2254.60028252659	42605.8778591078
cell_2767	13426.6580203422	15601.4844588541
cell_1973	15994.9816575647	32205.8470838301
cell_3669	10486.2508360668	36190.8594144744
cell_5725	2788.62432149221	44387.0628518006
cell_2161	16302.456387123	30776.7167479393
cell_186	21289.3057831929	37350.6958441662
cell_2039	14661.2503969767	31277.9922138352
cell_2167	16107.4452109934	27708.6842806695
cell_6484	3733.68153946402	27454.8410216048
cell_2304	12802.6198688962	28749.6928330443
cell_2771	13282.7495813261	15749.265583926
cell_7812	1302.38019485812	30027.5402750703
cell_679	18126.0866553346	29285.2050320873
cell_3755	8682.04688007222	36579.7305176722
cell_4794	6526.11826671615	39645.3753082428
cell_4678	9083.09739608937	40073.0983037673
cell_1394	20313.1167177875	5009.06280045289
cell_5163	7419.12136263056	34161.099784264
cell_5501	6937.56644484715	23754.4525052103
cell_4928	8211.31058549203	37458.5406663841
cell_606	20080.7665752003	29173.9551319381
cell_3114	16505.4217124724	4790.39556865779
cell_4047	11046.8955988644	28445.7602162256
cell_2581	16329.2656122319	21364.3104465156
cell_643	19086.8391736343	27659.4849553335
cell_5558	9100.51261621544	21977.3027800614
cell_719	17037.8932293135	27567.7929730675
cell_4909	8603.16779864021	37620.9053510808
cell_6094	4118.34848354305	38153.4091081246
cell_5480	8001.36552907896	24202.1377372305
cell_321	17197.5747638058	34648.5252144011
cell_5963	2306.16056543727	39254.332838111
cell_2133	17037.8932293135	27567.7929730675
cell_7066	586.958793345733	40807.890831432
cell_3368	12976.6054169864	39016.0476038963
cell_1807	14582.814117616	35428.5638300569
cell_2089	13481.9200012198	31077.853376824
cell_5507	6798.09556710736	25113.6584224109
cell_617	19815.360072953	27580.8275721981
