	ACOB	OBDOP1	OBDOP2-OBINH123	OBINH4	OBINH5	OBNBL12	OBNBL3	OBNBL45	OEC
Jund	0	0	0	0	1	0	0	0	0
Slc17a7	0	0	0	0	0	1	0	0	0
Glud1	1	0	0	0	0	0	0	0	0
Rpl7	0	0	0	0	0	0	1	0	0
Zfp704	0	0	0	0	0	0	1	0	0
Slc6a1	1	0	0	0	0	0	0	0	0
Slc6a17	0	0	0	0	1	0	0	0	0
Cox6b1	0	0	0	0	1	0	0	0	0
Tubb5	0	0	0	0	0	0	1	0	0
Vamp2	0	1	1	0	1	1	0	0	0
Cd47	0	0	0	0	0	1	0	0	0
Fgfr1	1	0	0	0	0	0	0	0	0
Nfib	0	0	0	0	0	0	1	0	0
Ogfrl1	0	0	0	0	0	1	0	0	0
Clu	1	0	0	0	0	0	0	0	0
Ppp3ca	0	0	1	0	0	0	0	0	0
Syp	0	0	0	0	0	1	0	0	0
2700060E02Rik	0	0	0	0	0	0	1	0	0
Ctxn3	0	0	0	1	0	0	0	0	0
Trdn	0	0	0	1	0	0	0	0	0
Cox8a	0	0	0	0	1	0	0	0	0
Rps3a1	0	0	0	0	0	0	1	0	0
Ctnnbip1	1	0	0	0	0	0	0	0	0
Doc2g	0	0	0	0	0	1	0	0	0
Tshz1	0	0	0	1	0	0	0	0	0
Prex1	1	0	0	0	0	0	0	0	0
Qk	1	0	0	0	0	0	0	0	0
Hmgn1	0	0	0	0	0	0	1	0	0
Rps2	0	0	0	0	0	0	1	0	0
1810037I17Rik	0	0	0	0	0	0	0	0	1
Ank3	0	0	1	0	1	0	0	0	0
Sparc	0	0	0	0	0	0	0	0	1
Mgll	1	0	0	0	1	0	0	0	0
Prkca	0	0	1	0	0	0	0	0	0
Cirbp	0	0	0	0	0	0	0	1	0
Hn1	0	0	0	0	0	0	1	0	0
Rpl17	0	0	0	0	0	0	1	0	0
Ckb	1	0	1	0	0	0	0	0	0
Hap1	0	1	0	0	0	0	0	0	0
Ftl1	0	0	0	0	0	0	1	0	0
Pbxip1	1	0	0	0	0	0	0	0	0
Meg3	0	1	1	1	1	1	1	1	0
Rpl28	0	0	0	0	0	0	1	0	0
Npy	0	0	0	0	0	0	0	0	1
Baiap2	0	0	1	0	0	0	0	0	0
Eif3h	0	0	0	0	0	0	1	0	0
Limd2	0	0	1	0	0	0	0	0	0
Pbx1	0	0	1	0	0	0	0	0	0
Tubb3	0	0	0	0	0	0	1	0	0
Ctsd	1	0	0	0	0	0	0	0	0
Vtn	0	0	0	0	0	0	0	0	1
Tmbim6	0	0	0	0	0	0	0	0	1
Uqcrh	0	0	0	0	1	0	0	0	0
Islr2	0	0	0	0	0	0	1	0	0
Sys1	0	0	0	0	0	0	0	0	1
Sox9	1	0	0	0	0	0	0	0	0
Cd59a	0	0	0	0	0	0	0	0	1
Efhd2	1	0	0	0	0	0	0	0	0
Phactr3	0	0	0	1	0	0	0	0	0
Rps26	0	0	0	0	0	0	1	0	0
Cox6a1	0	0	0	0	1	0	0	0	0
Calb2	0	0	0	0	1	0	0	1	0
Mdk	0	0	0	0	0	0	0	0	1
Rpl37	0	0	0	0	0	0	1	0	0
Atp1b1	0	0	1	0	1	1	0	1	0
Npc2	0	0	0	0	0	0	0	0	1
Hes5	1	0	0	0	0	0	0	0	1
Dlgap1	0	0	1	0	0	0	0	0	0
Scrg1	0	0	0	0	0	0	0	0	1
Rgs10	0	0	0	0	1	0	0	1	0
Aldoc	1	0	0	0	0	0	0	0	1
Eef2	0	0	0	0	0	0	1	0	0
Hepacam	1	0	0	0	0	0	0	0	0
Ccdc85a	0	0	0	1	0	0	0	0	0
Gpm6b	1	0	0	0	0	0	0	0	1
Syt7	0	1	0	0	1	0	0	0	0
Fgfr3	1	0	0	0	0	0	0	0	0
Cst3	1	0	0	0	0	0	0	0	1
Sepp1	1	0	0	0	0	0	0	0	1
Gstm5	1	0	0	0	0	0	0	0	0
Id3	1	0	0	0	0	0	0	0	1
Ndufc1	0	0	0	0	1	0	0	0	0
Bola3	0	0	0	0	1	0	0	0	0
Nrip3	0	0	1	0	0	0	0	0	0
Abr	0	0	0	0	0	1	0	0	0
Fabp7	1	0	0	0	0	0	0	0	1
Strbp	0	0	0	0	0	1	0	0	0
Pax6	0	1	0	0	0	0	0	0	0
Psd3	0	0	1	0	0	0	0	0	0
Cox7a2	0	0	0	0	1	0	0	0	0
Rpl7a	0	0	0	0	0	0	1	0	0
S1pr1	1	0	0	0	0	0	0	0	0
Atp5g1	0	0	0	0	1	1	0	0	0
Mef2c	0	0	1	0	0	0	0	0	0
Th	0	1	0	0	0	0	0	0	0
Cldn10	1	0	0	0	0	0	0	0	0
Cd24a	0	0	0	0	0	0	1	0	0
Pla2g16	0	0	0	0	0	0	0	0	1
Scp2	0	0	0	0	0	0	0	0	1
Atp1a1	0	0	1	0	0	0	0	0	0
Mt1	1	1	0	0	0	0	0	0	0
Sp9	0	0	0	0	0	0	1	0	0
Hnrnpab	0	0	0	0	0	0	1	0	0
Fkbp2	0	0	0	0	0	1	0	0	0
Mt2	1	0	0	0	0	0	0	0	0
Bmyc	0	0	0	0	0	0	0	0	1
Tpi1	0	0	0	0	1	0	0	0	0
Vip	0	0	0	0	1	0	0	0	0
Rps23	0	0	0	0	0	0	1	0	0
S100b	0	0	0	0	0	0	0	0	1
Hmgb3	0	0	0	0	0	0	1	0	0
Ly6h	0	1	0	0	0	1	0	1	0
Rps25	0	0	0	0	0	0	1	0	0
Pde2a	0	0	0	0	1	0	0	0	0
Tuba1a	0	0	0	0	0	0	1	0	0
Tac2	0	0	0	0	1	0	0	0	0
Fam213a	0	0	0	0	0	0	0	0	1
Grb2	0	0	1	0	0	0	0	0	0
Igfbp5	0	0	0	0	0	0	0	0	1
Nrsn1	0	1	0	0	1	0	0	1	0
Shisa9	0	0	0	0	0	1	0	0	0
Btf3	0	0	0	0	0	0	1	0	0
Eva1a	1	0	0	0	0	0	0	0	0
Got1	0	0	0	0	1	0	0	0	0
Atp1a2	1	0	0	0	0	0	0	0	1
Gstm1	1	0	0	0	0	0	0	0	0
Rpl18	0	0	0	0	0	0	1	0	0
Lhfp	0	0	0	0	0	1	0	0	1
S100a1	1	0	0	0	0	0	0	0	1
Cspg5	1	0	0	0	0	0	0	0	0
Sparcl1	1	0	0	0	0	0	0	0	1
Ndufa11	0	0	0	0	1	0	0	0	0
Camk2n1	0	0	1	0	0	0	0	0	0
Pnoc	0	0	0	0	1	0	0	0	0
